Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
01/28/2023 09:00:00,0.0036
01/28/2023 10:00:00,0.0001
01/28/2023 11:00:00,0.0000
01/28/2023 12:00:00,0.0007
01/28/2023 13:00:00,0.0001
01/28/2023 14:00:00,0.0075
01/28/2023 15:00:00,0.0008
01/28/2023 16:00:00,0.0006
01/28/2023 17:00:00,0.0007
01/28/2023 18:00:00,0.0184
01/28/2023 19:00:00,0.0373
01/28/2023 20:00:00,0.0499
01/28/2023 21:00:00,0.0147
01/28/2023 22:00:00,0.0141
01/28/2023 23:00:00,0.0196
01/29/2023 00:00:00,0.0134
01/29/2023 01:00:00,0.0043
01/29/2023 02:00:00,0.0034
01/29/2023 03:00:00,0.0015
01/29/2023 04:00:00,0.0010
01/29/2023 05:00:00,0.0000
01/29/2023 06:00:00,0.0204
01/29/2023 07:00:00,0.0000
01/29/2023 08:00:00,0.0000
01/29/2023 09:00:00,0.0001
01/29/2023 10:00:00,0.0004
01/29/2023 11:00:00,0.0006
01/29/2023 12:00:00,0.0001
01/29/2023 13:00:00,0.0003
01/29/2023 14:00:00,0.0009
01/29/2023 15:00:00,0.0004
01/29/2023 16:00:00,0.0001
01/29/2023 17:00:00,0.0001
01/29/2023 18:00:00,0.0068
01/29/2023 19:00:00,0.0193
01/29/2023 20:00:00,0.0317
01/29/2023 21:00:00,0.0396
01/29/2023 22:00:00,0.0530
01/29/2023 23:00:00,0.0198
01/30/2023 00:00:00,0.0023
01/30/2023 01:00:00,0.0025
01/30/2023 02:00:00,0.0009
01/30/2023 03:00:00,0.0000
01/30/2023 04:00:00,0.0002
01/30/2023 05:00:00,0.0011
01/30/2023 06:00:00,0.0071
01/30/2023 07:00:00,0.0054
01/30/2023 08:00:00,0.0180
01/30/2023 09:00:00,0.0200
01/30/2023 10:00:00,0.0180
01/30/2023 11:00:00,0.0178
01/30/2023 12:00:00,0.0131
01/30/2023 13:00:00,0.0000
01/30/2023 14:00:00,0.0209
01/30/2023 15:00:00,0.0075
01/30/2023 16:00:00,0.0520
01/30/2023 17:00:00,0.0423
01/30/2023 18:00:00,0.0019
01/30/2023 19:00:00,0.0158
01/30/2023 20:00:00,0.0333
01/30/2023 21:00:00,0.0416
01/30/2023 22:00:00,0.0823
01/30/2023 23:00:00,0.0677
01/31/2023 00:00:00,0.0387
01/31/2023 01:00:00,0.0002
01/31/2023 02:00:00,0.0000
01/31/2023 03:00:00,0.0001
01/31/2023 04:00:00,0.0002
01/31/2023 05:00:00,0.0007
01/31/2023 06:00:00,0.0057
01/31/2023 07:00:00,0.0103
01/31/2023 08:00:00,0.0181
01/31/2023 09:00:00,0.0000
01/31/2023 10:00:00,0.0000
01/31/2023 11:00:00,0.0002
01/31/2023 12:00:00,0.0000
01/31/2023 13:00:00,0.0005
01/31/2023 14:00:00,0.0005
01/31/2023 15:00:00,0.0000
01/31/2023 16:00:00,0.0000
01/31/2023 17:00:00,0.0000
01/31/2023 18:00:00,0.0000
01/31/2023 19:00:00,0.0000
01/31/2023 20:00:00,0.0005
01/31/2023 21:00:00,0.0265
01/31/2023 22:00:00,0.0771
01/31/2023 23:00:00,0.0637
02/01/2023 00:00:00,0.0597
